,2024-12-31,2023-12-31
Free Cash Flow,89700000.0,37200000.0
Repurchase Of Capital Stock,-21300000.0,0.0
Repayment Of Debt,-8700000.0,-108400000.0
Issuance Of Debt,45400000.0,49700000.0
Issuance Of Capital Stock,0.0,200000.0
Capital Expenditure,-12300000.0,-13500000.0
End Cash Position,101700000.0,106100000.0
Other Cash Adjustment Outside Changein Cash,100000.0,-100000.0
Beginning Cash Position,106100000.0,278900000.0
Effect Of Exchange Rate Changes,0.0,-100000.0
Changes In Cash,-4500000.0,-172600000.0
Financing Cash Flow,-41600000.0,-108900000.0
Net Other Financing Charges,100000.0,-100000.0
Cash Dividends Paid,-13800000.0,-13600000.0
Common Stock Dividend Paid,,-13600000.0
Net Common Stock Issuance,-21300000.0,200000.0
Common Stock Payments,-21300000.0,0.0
Common Stock Issuance,0.0,200000.0
Net Issuance Payments Of Debt,36700000.0,-58700000.0
Net Long Term Debt Issuance,36700000.0,-58700000.0
Long Term Debt Payments,-8700000.0,-108400000.0
Long Term Debt Issuance,45400000.0,49700000.0
Investing Cash Flow,-64900000.0,-114400000.0
Net Other Investing Changes,,100000.0
Net Investment Purchase And Sale,0.0,400000.0
Sale Of Investment,100000.0,700000.0
Purchase Of Investment,-100000.0,-300000.0
Net Business Purchase And Sale,-60500000.0,-104100000.0
Purchase Of Business,-60500000.0,-104100000.0
Net PPE Purchase And Sale,-4400000.0,-10800000.0
Sale Of PPE,7900000.0,2700000.0
Purchase Of PPE,-12300000.0,-13500000.0
Operating Cash Flow,102000000.0,50700000.0
Taxes Refund Paid,-10700000.0,-8600000.0
Interest Received Cfo,1900000.0,3400000.0
Interest Paid Cfo,-17000000.0,-13100000.0
Change In Working Capital,45500000.0,-22000000.0
Change In Other Current Liabilities,-2500000.0,10500000.0
Change In Payable,6800000.0,500000.0
Change In Inventory,1400000.0,-1500000.0
Change In Receivables,39800000.0,-31500000.0
Other Non Cash Items,-22900000.0,-17900000.0
Provisionand Write Offof Assets,1300000.0,2500000.0
Depreciation And Amortization,72800000.0,65600000.0
Depreciation,72800000.0,65600000.0
Net Foreign Currency Exchange Gain Loss,0.0,-100000.0
Gain Loss On Sale Of PPE,-2300000.0,-900000.0
Net Income From Continuing Operations,33500000.0,41800000.0
