,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-5566000.0,26457000.0,-4124000.0
Issuance Of Capital Stock,17533000.0,32176000.0,0.0
Capital Expenditure,-593000.0,-191000.0,-1225000.0
End Cash Position,11633000.0,32135000.0,3301000.0
Other Cash Adjustment Outside Changein Cash,593000.0,7643000.0,
Beginning Cash Position,32135000.0,21158000.0,36026000.0
Changes In Cash,-21095000.0,3334000.0,-32725000.0
Financing Cash Flow,-15529000.0,-29723000.0,46855000.0
Net Other Financing Charges,,-61899000.0,
Net Common Stock Issuance,17533000.0,32176000.0,0.0
Common Stock Issuance,17533000.0,32176000.0,0.0
Net Issuance Payments Of Debt,-33062000.0,-61899000.0,46855000.0
Net Long Term Debt Issuance,-33062000.0,-61899000.0,46855000.0
Investing Cash Flow,-593000.0,6600000.0,-76681000.0
Net Investment Purchase And Sale,0.0,0.0,-75864000.0
Sale Of Investment,,5830000.0,0.0
Purchase Of Investment,,0.0,-75864000.0
Net Intangibles Purchase And Sale,,961000.0,408000.0
Sale Of Intangibles,,961000.0,408000.0
Net PPE Purchase And Sale,-593000.0,6600000.0,-1225000.0
Sale Of PPE,,6600000.0,
Purchase Of PPE,-593000.0,-191000.0,-1225000.0
Operating Cash Flow,-4973000.0,26457000.0,-2899000.0
Taxes Refund Paid,,561000.0,0.0
Change In Working Capital,7751000.0,48546000.0,-7791000.0
Change In Other Current Liabilities,-17870000.0,38000000.0,995000.0
Change In Payable,,-3184000.0,-4257000.0
Change In Inventory,17039000.0,9556000.0,2328000.0
Change In Receivables,8582000.0,990000.0,-6857000.0
Other Non Cash Items,-9786000.0,-22161000.0,
Depreciation And Amortization,44794000.0,290443000.0,
Depreciation,44794000.0,290443000.0,
Net Income From Continuing Operations,-47732000.0,-290371000.0,-14207000.0
