,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,22749000.0,-4272000.0,-50640000.0,34154000.0,
Repayment Of Debt,,,0.0,0.0,
Issuance Of Debt,0.0,0.0,0.0,0.0,
Issuance Of Capital Stock,117000.0,93000.0,48403000.0,418317000.0,
Capital Expenditure,-1588000.0,-8058000.0,-49096000.0,-3445000.0,
End Cash Position,68738000.0,44146000.0,48209000.0,52552000.0,
Beginning Cash Position,44146000.0,48209000.0,52552000.0,4478000.0,
Effect Of Exchange Rate Changes,3222000.0,-378000.0,1808000.0,1683000.0,
Changes In Cash,21370000.0,-3685000.0,-6151000.0,46391000.0,
Financing Cash Flow,-1379000.0,1950000.0,47502000.0,416266000.0,
Net Common Stock Issuance,117000.0,93000.0,48403000.0,418317000.0,
Common Stock Issuance,117000.0,93000.0,48403000.0,418317000.0,
Net Issuance Payments Of Debt,0.0,0.0,0.0,-1151000.0,
Net Short Term Debt Issuance,,,0.0,-1151000.0,1151000.0
Short Term Debt Payments,,,,-1151000.0,
Short Term Debt Issuance,,,,,1151000.0
Net Long Term Debt Issuance,0.0,0.0,0.0,0.0,
Long Term Debt Payments,,,0.0,0.0,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,
Investing Cash Flow,-1588000.0,-9421000.0,-52109000.0,-407474000.0,
Dividends Received Cfi,0.0,0.0,0.0,,
Net Investment Purchase And Sale,0.0,-1363000.0,-1769000.0,-2062000.0,
Sale Of Investment,,,,,0.0
Purchase Of Investment,0.0,-1363000.0,-1769000.0,-2062000.0,
Net Business Purchase And Sale,0.0,0.0,-1244000.0,-404846000.0,
Purchase Of Business,0.0,0.0,-1244000.0,-404846000.0,
Net Intangibles Purchase And Sale,-1540000.0,-3190000.0,-48484000.0,-3143000.0,
Purchase Of Intangibles,-1540000.0,-3190000.0,-48484000.0,-3143000.0,
Net PPE Purchase And Sale,-48000.0,-8058000.0,-612000.0,2577000.0,
Sale Of PPE,,,0.0,2879000.0,0.0
Purchase Of PPE,-48000.0,-8058000.0,-612000.0,-302000.0,
Operating Cash Flow,24337000.0,3786000.0,-1544000.0,37599000.0,
Taxes Refund Paid,-4409000.0,-3864000.0,-6315000.0,-6916000.0,
Interest Received Cfo,967000.0,493000.0,0.0,,
Interest Paid Cfo,0.0,-90000.0,0.0,0.0,
Change In Working Capital,12546000.0,20288000.0,-19893000.0,1280000.0,
Change In Other Current Liabilities,9378000.0,-8758000.0,,,
Change In Payable,9378000.0,-8758000.0,-7608000.0,-7470000.0,
Change In Inventory,4389000.0,5853000.0,-6413000.0,-13451000.0,
Change In Receivables,-1221000.0,23193000.0,-5872000.0,22201000.0,
Other Non Cash Items,202000.0,-127000.0,-1346000.0,15000.0,
Depreciation And Amortization,5866000.0,5384000.0,4353000.0,3134000.0,
Depreciation,5866000.0,5384000.0,4353000.0,3134000.0,
Net Foreign Currency Exchange Gain Loss,-3989000.0,-709000.0,5700000.0,,
Net Income From Continuing Operations,13154000.0,-312589000.0,15993000.0,40858000.0,
