,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,40985000.0,-55504000.0,-209324000.0,-24282000.0,
Repayment Of Debt,-36459000.0,-58608000.0,-4012000.0,-5662000.0,
Issuance Of Debt,31307000.0,57320000.0,53593000.0,0.0,
Issuance Of Capital Stock,0.0,101321000.0,102562000.0,0.0,
Capital Expenditure,-46863000.0,-7597000.0,-50258000.0,-27483000.0,
End Cash Position,82698000.0,61077000.0,33097000.0,83516000.0,
Other Cash Adjustment Outside Changein Cash,,-2000.0,16302000.0,-13861000.0,19039000.0
Beginning Cash Position,61077000.0,33097000.0,83516000.0,133608000.0,
Effect Of Exchange Rate Changes,-2012000.0,-1496000.0,4319000.0,3306000.0,
Changes In Cash,23633000.0,29478000.0,-71040000.0,-39537000.0,
Financing Cash Flow,-19022000.0,84853000.0,132848000.0,-16932000.0,
Net Other Financing Charges,,1000.0,,,
Net Common Stock Issuance,0.0,101321000.0,102562000.0,0.0,
Common Stock Issuance,0.0,101321000.0,102562000.0,0.0,
Net Issuance Payments Of Debt,-5152000.0,-1288000.0,49581000.0,-5662000.0,
Net Long Term Debt Issuance,-5152000.0,-1288000.0,49581000.0,-5662000.0,
Long Term Debt Payments,-36459000.0,-58608000.0,-4012000.0,-5662000.0,
Long Term Debt Issuance,31307000.0,57320000.0,53593000.0,0.0,
Investing Cash Flow,-45193000.0,-7468000.0,-44822000.0,-25806000.0,
Net Other Investing Changes,1670000.0,129000.0,5436000.0,1677000.0,
Net Intangibles Purchase And Sale,-14913000.0,-7596000.0,-40706000.0,-25521000.0,
Purchase Of Intangibles,-14913000.0,-7596000.0,-40706000.0,-25521000.0,
Net PPE Purchase And Sale,-31950000.0,-1000.0,-9552000.0,-1962000.0,
Purchase Of PPE,-31950000.0,-1000.0,-9552000.0,-1962000.0,
Operating Cash Flow,87848000.0,-47907000.0,-159066000.0,3201000.0,
Taxes Refund Paid,1992000.0,6639000.0,4477000.0,4648000.0,
Interest Received Cfo,3624000.0,7721000.0,22000.0,134000.0,
Interest Paid Cfo,-11149000.0,-10320000.0,-2587000.0,-3118000.0,
Change In Working Capital,101330000.0,-28951000.0,-24797000.0,-3318000.0,
Change In Payable,100989000.0,-33152000.0,-24029000.0,25544000.0,
Change In Inventory,4230000.0,2595000.0,-6849000.0,-8985000.0,
Change In Receivables,-3889000.0,1606000.0,6081000.0,-19877000.0,
Other Non Cash Items,1970000.0,2513000.0,14714000.0,206000.0,
Depreciation And Amortization,45444000.0,59010000.0,74507000.0,32269000.0,
Amortization Cash Flow,,,53344000.0,,
Depreciation,45444000.0,59010000.0,21163000.0,32269000.0,
Net Foreign Currency Exchange Gain Loss,9443000.0,-346000.0,6700000.0,1922000.0,
Gain Loss On Sale Of PPE,0.0,243000.0,-107000.0,-18000.0,
Net Income From Continuing Operations,-91686000.0,-94126000.0,-232939000.0,-31191000.0,
