,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-1086109.0,2912453.0,2472542.0
Repayment Of Debt,-1065592.0,-382864.0,0.0
Issuance Of Debt,3446650.0,0.0,
Issuance Of Capital Stock,0.0,0.0,12500000.0
Capital Expenditure,-7168145.0,-4292750.0,-3518602.0
End Cash Position,6009908.0,4755011.0,2339705.0
Other Cash Adjustment Outside Changein Cash,,3779804.0,
Beginning Cash Position,4755011.0,2339705.0,5963725.0
Effect Of Exchange Rate Changes,-19819.0,5435.0,-25461.0
Changes In Cash,1274716.0,2409871.0,-3598559.0
Financing Cash Flow,2381058.0,-664379.0,12500000.0
Cash Dividends Paid,,-281515.0,
Net Common Stock Issuance,0.0,0.0,12500000.0
Common Stock Issuance,0.0,0.0,12500000.0
Net Issuance Payments Of Debt,2381058.0,-382864.0,0.0
Net Long Term Debt Issuance,2381058.0,-382864.0,0.0
Long Term Debt Payments,-1065592.0,-382864.0,0.0
Long Term Debt Issuance,3446650.0,0.0,
Investing Cash Flow,-7188378.0,-4130953.0,-22089703.0
Net Business Purchase And Sale,-20233.0,0.0,-18667650.0
Purchase Of Business,-20233.0,0.0,-18667650.0
Net Intangibles Purchase And Sale,-7160623.0,-4280196.0,-3518602.0
Purchase Of Intangibles,-7160623.0,-4280196.0,-3518602.0
Net PPE Purchase And Sale,-7522.0,149243.0,96549.0
Sale Of PPE,0.0,161797.0,96549.0
Purchase Of PPE,-7522.0,-12554.0,
Operating Cash Flow,6082036.0,7205203.0,5991144.0
Taxes Refund Paid,-722695.0,-1000297.0,-506018.0
Interest Received Cfo,0.0,0.0,0.0
Interest Paid Cfo,,,0.0
Change In Working Capital,523885.0,3442718.0,1558636.0
Change In Other Current Liabilities,-119649.0,-3088112.0,7361256.0
Change In Payable,1580415.0,-6142015.0,1090075.0
Change In Inventory,-1251299.0,112315.0,-1123857.0
Change In Receivables,314418.0,12560530.0,-5768838.0
Other Non Cash Items,-587808.0,-46589.0,-613.0
Depreciation And Amortization,5439179.0,4859693.0,2699233.0
Depreciation,5439179.0,4859693.0,2699233.0
Net Income From Continuing Operations,1429475.0,-50322.0,2239906.0
