,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-25058000.0,-30924000.0,-43806000.0
Repayment Of Debt,-842000.0,-273000.0,-6236000.0
Issuance Of Debt,11300000.0,4000000.0,0.0
Issuance Of Capital Stock,26421000.0,0.0,37041000.0
Capital Expenditure,-18596000.0,-17306000.0,-17941000.0
End Cash Position,11189000.0,359000.0,27089000.0
Other Cash Adjustment Outside Changein Cash,,1000.0,
Beginning Cash Position,359000.0,27089000.0,41784000.0
Effect Of Exchange Rate Changes,-5000.0,50000.0,67000.0
Changes In Cash,10835000.0,-26781000.0,-14762000.0
Financing Cash Flow,35504000.0,3787000.0,30805000.0
Net Other Financing Charges,-60000.0,60000.0,
Net Common Stock Issuance,26421000.0,0.0,37041000.0
Common Stock Issuance,26421000.0,0.0,37041000.0
Net Issuance Payments Of Debt,10458000.0,3727000.0,-6236000.0
Net Long Term Debt Issuance,10458000.0,3727000.0,-6236000.0
Long Term Debt Payments,-842000.0,-273000.0,-6236000.0
Long Term Debt Issuance,11300000.0,4000000.0,0.0
Investing Cash Flow,-18207000.0,-16950000.0,-19702000.0
Net Other Investing Changes,-1000.0,,-1000.0
Net Investment Purchase And Sale,390000.0,356000.0,-1760000.0
Sale Of Investment,448000.0,356000.0,0.0
Purchase Of Investment,-58000.0,,-1760000.0
Net Intangibles Purchase And Sale,-18422000.0,-17149000.0,-17458000.0
Purchase Of Intangibles,-18422000.0,-17149000.0,-17458000.0
Net PPE Purchase And Sale,-174000.0,-157000.0,-483000.0
Purchase Of PPE,-174000.0,-157000.0,-483000.0
Operating Cash Flow,-6462000.0,-13618000.0,-25865000.0
Taxes Refund Paid,-116000.0,-176000.0,-311000.0
Interest Received Cfo,7000.0,13000.0,263000.0
Interest Paid Cfo,-681000.0,-305000.0,-226000.0
Change In Working Capital,16915000.0,16285000.0,-7438000.0
Change In Other Current Liabilities,15503000.0,8804000.0,-1511000.0
Change In Payable,10116000.0,-58000.0,4817000.0
Change In Inventory,-52000.0,-6000.0,0.0
Change In Receivables,-8652000.0,7545000.0,-10744000.0
Net Income From Continuing Operations,-26965000.0,-34693000.0,-21396000.0
