,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-22429000.0,-16583000.0,-15917000.0
Issuance Of Capital Stock,17609000.0,26947000.0,
Capital Expenditure,-7827000.0,-2705000.0,
End Cash Position,14651000.0,14082000.0,
Beginning Cash Position,14082000.0,9231000.0,
Changes In Cash,569000.0,4851000.0,-18720000.0
Financing Cash Flow,22998000.0,21434000.0,0.0
Net Other Financing Charges,,1000.0,
Net Common Stock Issuance,17609000.0,26947000.0,
Common Stock Issuance,17609000.0,26947000.0,
Net Issuance Payments Of Debt,7875000.0,0.0,
Net Long Term Debt Issuance,7875000.0,0.0,
Investing Cash Flow,-7827000.0,-2705000.0,-2803000.0
Net Intangibles Purchase And Sale,-7654000.0,-2705000.0,
Purchase Of Intangibles,-7654000.0,-2705000.0,
Net PPE Purchase And Sale,-173000.0,0.0,
Purchase Of PPE,-173000.0,0.0,
Operating Cash Flow,-14602000.0,-13878000.0,-15917000.0
Interest Received Cfo,239000.0,413000.0,
Interest Paid Cfo,-4000.0,-1000.0,
Change In Working Capital,336000.0,360000.0,
Change In Other Current Liabilities,3620000.0,396000.0,
Change In Receivables,-3284000.0,-36000.0,
Net Income From Continuing Operations,-15381000.0,-14846000.0,
