,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,85163000.0,92126000.0,68660000.0
Repurchase Of Capital Stock,,-164000.0,
Repayment Of Debt,,,-30337000.0
Issuance Of Capital Stock,2819000.0,,6846000.0
Capital Expenditure,-23734000.0,-6071000.0,-61424000.0
End Cash Position,45292000.0,29334000.0,43437000.0
Other Cash Adjustment Outside Changein Cash,,1000.0,-1000.0
Beginning Cash Position,29334000.0,43437000.0,50436000.0
Changes In Cash,15958000.0,-14104000.0,-6998000.0
Financing Cash Flow,-64205000.0,-106230000.0,-77217000.0
Net Other Financing Charges,-1000.0,,-1000.0
Interest Paid Cff,-10559000.0,-7774000.0,-3519000.0
Cash Dividends Paid,,-36000000.0,
Common Stock Dividend Paid,0.0,-36000000.0,0.0
Net Common Stock Issuance,2819000.0,-164000.0,6846000.0
Common Stock Payments,,-164000.0,
Common Stock Issuance,2819000.0,,6846000.0
Net Issuance Payments Of Debt,35684000.0,6168000.0,-30337000.0
Net Long Term Debt Issuance,35684000.0,6168000.0,-30337000.0
Long Term Debt Payments,,,-30337000.0
Investing Cash Flow,-28734000.0,-6071000.0,-59865000.0
Net Other Investing Changes,,,1000.0
Net Investment Purchase And Sale,0.0,0.0,65000.0
Sale Of Investment,0.0,0.0,65000.0
Net Business Purchase And Sale,-5000000.0,0.0,0.0
Purchase Of Business,-5000000.0,0.0,0.0
Net Intangibles Purchase And Sale,-1012000.0,-411000.0,1493000.0
Sale Of Intangibles,,,1493000.0
Purchase Of Intangibles,-1012000.0,-411000.0,
Net PPE Purchase And Sale,-22722000.0,-5660000.0,-61424000.0
Purchase Of PPE,-22722000.0,-5660000.0,-61424000.0
Operating Cash Flow,108897000.0,98197000.0,130084000.0
Taxes Refund Paid,-6568000.0,-11256000.0,7421000.0
Interest Received Cfo,322000.0,33000.0,1000.0
Interest Paid Cfo,-8443000.0,-4657000.0,-3504000.0
Change In Working Capital,-55897000.0,-14661000.0,40057000.0
Change In Payable,-95310000.0,127510000.0,67089000.0
Change In Inventory,4830000.0,-619000.0,-18162000.0
Change In Receivables,34583000.0,-141552000.0,-8870000.0
Other Non Cash Items,-6825000.0,-30242000.0,-64599000.0
Depreciation And Amortization,124917000.0,103203000.0,75245000.0
Amortization Cash Flow,10563000.0,10607000.0,9835000.0
Depreciation,114354000.0,92596000.0,65410000.0
Gain Loss On Sale Of PPE,-4545000.0,-6740000.0,-2231000.0
Net Income From Continuing Operations,65936000.0,62518000.0,77694000.0
