,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-9317000.0,-9245000.0,-6492527.0
Repayment Of Debt,0.0,-1428000.0,-3810000.0
Issuance Of Debt,0.0,11100000.0,0.0
Issuance Of Capital Stock,9078000.0,0.0,11351767.0
Capital Expenditure,-1592000.0,-1925000.0,-163850.0
End Cash Position,369000.0,609000.0,1219170.0
Other Cash Adjustment Outside Changein Cash,-1000.0,,1.0
Beginning Cash Position,609000.0,182000.0,169929.0
Changes In Cash,-239000.0,427000.0,1049240.0
Financing Cash Flow,9078000.0,9672000.0,7541767.0
Net Common Stock Issuance,9078000.0,0.0,11351767.0
Common Stock Issuance,9078000.0,0.0,11351767.0
Net Issuance Payments Of Debt,0.0,9672000.0,-3810000.0
Net Long Term Debt Issuance,0.0,9672000.0,-3810000.0
Long Term Debt Payments,0.0,-1428000.0,-3810000.0
Long Term Debt Issuance,0.0,11100000.0,0.0
Investing Cash Flow,-1592000.0,-1925000.0,-163850.0
Net Intangibles Purchase And Sale,-1592000.0,0.0,-163850.0
Purchase Of Intangibles,-1592000.0,0.0,-163850.0
Net PPE Purchase And Sale,0.0,-1925000.0,
Purchase Of PPE,0.0,-1925000.0,
Operating Cash Flow,-7725000.0,-7320000.0,-6328677.0
Interest Paid Cfo,,,-457881.0
Change In Working Capital,-973000.0,-227000.0,-840396.0
Change In Other Current Liabilities,-1879000.0,703000.0,-779412.0
Change In Payable,415000.0,52000.0,
Change In Receivables,491000.0,-982000.0,-60984.0
Depreciation And Amortization,,,3469848.0
Depreciation,,,3469848.0
Net Income From Continuing Operations,-38511000.0,-9576000.0,-8500247.0
