,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-4044302.0,-11813484.0,-22228927.0,-27292835.0
Repayment Of Debt,0.0,0.0,-416654.0,-1000004.0
Issuance Of Debt,0.0,0.0,0.0,0.0
Issuance Of Capital Stock,124650.0,-49950.0,35295050.0,26277817.0
Capital Expenditure,-19822103.0,-21536192.0,-21654162.0,-22941198.0
End Cash Position,7099677.0,11019328.0,22882762.0,11161857.0
Other Cash Adjustment Outside Changein Cash,1.0,,,1.0
Beginning Cash Position,11019328.0,22882762.0,11161857.0,14678878.0
Changes In Cash,-3919652.0,-11863434.0,11720905.0,-3517022.0
Financing Cash Flow,124650.0,-49950.0,33949832.0,23775813.0
Net Common Stock Issuance,124650.0,-49950.0,35295050.0,26277817.0
Common Stock Issuance,124650.0,-49950.0,35295050.0,26277817.0
Net Issuance Payments Of Debt,0.0,0.0,-416654.0,-1000004.0
Net Long Term Debt Issuance,0.0,0.0,-416654.0,-1000004.0
Long Term Debt Payments,0.0,0.0,-416654.0,-1000004.0
Long Term Debt Issuance,0.0,0.0,0.0,0.0
Investing Cash Flow,-19822103.0,-21536192.0,-21654162.0,-22941198.0
Net Intangibles Purchase And Sale,-19719917.0,-21468552.0,-21451946.0,-22631636.0
Purchase Of Intangibles,-19719917.0,-21468552.0,-21451946.0,-22631636.0
Net PPE Purchase And Sale,-102186.0,-67640.0,-202216.0,-309562.0
Purchase Of PPE,-102186.0,-67640.0,-202216.0,-309562.0
Operating Cash Flow,15777801.0,9722708.0,-574765.0,-4351637.0
Taxes Refund Paid,0.0,0.0,0.0,0.0
Change In Working Capital,-1736272.0,-1717237.0,-776567.0,-1796035.0
Change In Other Current Liabilities,-715109.0,-2770025.0,411372.0,-1607301.0
Change In Receivables,-1021163.0,1052788.0,-1187939.0,-188734.0
Depreciation And Amortization,16805496.0,14868155.0,12652568.0,
Depreciation,16805496.0,14868155.0,12652568.0,
Net Income From Continuing Operations,708578.0,-3428210.0,-12450766.0,-12854869.0
