,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,8290000000.0,6057000000.0,5237000000.0,6988000000.0
Repayment Of Debt,-1403000000.0,-1497000000.0,-1538000000.0,-3056000000.0
Issuance Of Debt,1000000000.0,1499000000.0,2498000000.0,2489000000.0
End Cash Position,843000000.0,869000000.0,795000000.0,697000000.0
Other Cash Adjustment Outside Changein Cash,843000000.0,869000000.0,,
Beginning Cash Position,869000000.0,795000000.0,697000000.0,0.0
Changes In Cash,-26000000.0,74000000.0,98000000.0,697000000.0
Financing Cash Flow,-3750000000.0,-3129000000.0,-1955000000.0,-4033000000.0
Net Other Financing Charges,0.0,0.0,0.0,124000000.0
Cash Dividends Paid,-3347000000.0,-3131000000.0,-2915000000.0,-3590000000.0
Common Stock Dividend Paid,-3347000000.0,-3131000000.0,-2915000000.0,-3590000000.0
Net Issuance Payments Of Debt,-403000000.0,2000000.0,960000000.0,-567000000.0
Net Long Term Debt Issuance,-403000000.0,2000000.0,960000000.0,-567000000.0
Long Term Debt Payments,-1403000000.0,-1497000000.0,-1538000000.0,-3056000000.0
Long Term Debt Issuance,1000000000.0,1499000000.0,2498000000.0,2489000000.0
Investing Cash Flow,-4566000000.0,-2854000000.0,-3184000000.0,-2258000000.0
Net Other Investing Changes,,,,1000000.0
Net Investment Purchase And Sale,-4566000000.0,-2854000000.0,-3184000000.0,-2259000000.0
Sale Of Investment,0.0,0.0,0.0,2004000000.0
Purchase Of Investment,-4566000000.0,-2854000000.0,-3184000000.0,-4263000000.0
Cash Flowsfromusedin Operating Activities Direct,8290000000.0,6057000000.0,5237000000.0,6988000000.0
Classesof Cash Payments,-386000000.0,-415000000.0,-252000000.0,-171000000.0
Other Cash Paymentsfrom Operating Activities,-22000000.0,-46000000.0,-7000000.0,-9000000.0
Classesof Cash Receiptsfrom Operating Activities,8676000000.0,6472000000.0,5489000000.0,7159000000.0
Other Cash Receiptsfrom Operating Activities,30000000.0,,6000000.0,
