Instrument,Growth_cluster_rank,Quality_cluster_rank,Value_cluster_rank,Momentum_cluster_rank,overall_rank
ARION-SDB,81.0,60.1,97.1,65.2,97.7
AZA,76.5,93.4,42.8,60.1,89.5
SHB-A,39.1,59.0,75.9,62.2,73.7
SHB-B,39.1,59.0,40.2,81.4,63.2
NDA-SE,37.7,60.5,22.5,74.2,45.5
SEB-A,33.2,59.9,73.1,69.3,73.3
SEB-C,33.2,59.9,75.3,59.7,69.6
SWED-A,41.8,61.6,82.7,70.7,84.0
AAK,51.0,76.1,33.4,13.4,31.7
AXFO,41.0,64.8,10.5,79.2,46.5
ESSITY-A,21.3,75.0,37.1,25.8,23.4
ESSITY-B,21.3,75.0,36.7,22.5,21.1
IPCO,17.2,74.8,6.2,61.0,23.3
ATRLJ-B,44.1,70.3,79.6,44.4,74.4
BALD-B,60.7,80.7,38.1,59.8,75.1
CAST,25.0,77.6,41.6,72.8,61.0
CATE,90.5,89.1,28.9,79.1,94.5
CORE-A,32.0,46.0,46.4,69.4,44.5
CORE-B,32.0,46.0,48.1,53.8,35.3
CORE-D,32.0,46.0,28.3,78.5,38.6
CORE-PREF,32.0,46.0,26.4,78.3,37.3
FABG,18.4,68.5,38.2,60.8,39.1
FPAR-A,31.5,78.5,31.6,61.1,51.4
FPAR-D,31.5,78.5,64.2,84.7,84.5
HEM,83.3,99.2,7.2,9.6,48.8
HUFV-A,54.3,68.7,43.0,62.7,70.1
NP3,61.6,92.0,18.1,80.9,82.2
NP3-PREF,61.6,92.0,74.1,74.5,97.4
NYF,38.2,69.3,43.9,63.2,58.9
PNDX-B,21.1,74.4,35.5,39.9,31.1
SAGA-A,48.0,93.9,18.6,55.2,59.9
SAGA-B,48.0,93.9,20.0,52.1,58.4
SAGA-D,48.0,93.9,77.0,69.3,94.9
WALL-B,76.7,72.9,17.9,65.1,72.0
WIHL,58.9,87.0,34.5,70.0,81.1
BURE,,80.4,68.3,18.4,65.0
EQT,,91.6,12.7,72.3,73.1
INDU-A,7.6,85.0,69.4,34.3,47.2
INDU-C,7.6,85.0,75.7,35.6,52.4
INVE-A,1.0,83.8,60.7,32.9,34.4
INVE-B,1.0,83.8,49.4,32.7,27.5
KINV-A,,19.1,90.0,77.5,80.1
KINV-B,,19.1,79.4,66.1,62.8
LATO-B,35.8,74.0,23.7,27.9,24.3
